"","gene_id","gene_name","seq_name","gene_biotype","description"
"1","ENSMUSG00000102693","4933401J01Rik","1","TEC","RIKEN cDNA 4933401J01 gene [Source:MGI Symbol;Acc:MGI:1918292]"
"2","ENSMUSG00000064842","Gm26206","1","snRNA","predicted gene, 26206 [Source:MGI Symbol;Acc:MGI:5455983]"
"3","ENSMUSG00000051951","Xkr4","1","protein_coding","X-linked Kx blood group related 4 [Source:MGI Symbol;Acc:MGI:3528744]"
"4","ENSMUSG00000102851","Gm18956","1","processed_pseudogene","predicted gene, 18956 [Source:MGI Symbol;Acc:MGI:5011141]"
"5","ENSMUSG00000103377","Gm37180","1","TEC","predicted gene, 37180 [Source:MGI Symbol;Acc:MGI:5610408]"
"6","ENSMUSG00000104017","Gm37363","1","TEC","predicted gene, 37363 [Source:MGI Symbol;Acc:MGI:5610591]"
"7","ENSMUSG00000103025","Gm37686","1","TEC","predicted gene, 37686 [Source:MGI Symbol;Acc:MGI:5610914]"
"8","ENSMUSG00000089699","Gm1992","1","lncRNA","predicted gene 1992 [Source:MGI Symbol;Acc:MGI:3780162]"
"9","ENSMUSG00000103201","Gm37329","1","TEC","predicted gene, 37329 [Source:MGI Symbol;Acc:MGI:5610557]"
"10","ENSMUSG00000103147","Gm7341","1","processed_pseudogene","predicted gene 7341 [Source:MGI Symbol;Acc:MGI:3648497]"
"11","ENSMUSG00000103161","Gm38148","1","TEC","predicted gene, 38148 [Source:MGI Symbol;Acc:MGI:5611376]"
"12","ENSMUSG00000102331","Gm19938","1","lncRNA","predicted gene, 19938 [Source:MGI Symbol;Acc:MGI:5012123]"
"13","ENSMUSG00000102348","Gm10568","1","TEC","predicted gene 10568 [Source:MGI Symbol;Acc:MGI:3642703]"
"14","ENSMUSG00000102592","Gm38385","1","TEC","predicted gene, 38385 [Source:MGI Symbol;Acc:MGI:5611613]"
"15","ENSMUSG00000088333","Gm27396","1","snRNA","predicted gene, 27396 [Source:MGI Symbol;Acc:MGI:5530778]"
"16","ENSMUSG00000102343","Gm37381","1","lncRNA","predicted gene, 37381 [Source:MGI Symbol;Acc:MGI:5610609]"
"17","ENSMUSG00000025900","Rp1","1","protein_coding","retinitis pigmentosa 1 (human) [Source:MGI Symbol;Acc:MGI:1341105]"
"18","ENSMUSG00000102948","Gm6101","1","processed_pseudogene","predicted gene 6101 [Source:MGI Symbol;Acc:MGI:3644986]"
